formula,atom a,atom b,lowest distortion,e_form,e_hull,mu_b,gap pbe,a,alpha,beta
VSbO3,V,Sb,cubic,-1.161,0.944,0.693,0,4.035,90,90
CrAsO3,Cr,As,cubic,-1.157,0.807,0.891,0,3.774,90,90
CsRuO3,Cs,Ru,tetragonal,-1.157,0.264,0.002,0,3.914,90,90
ScPtO3,Sc,Pt,cubic,-1.156,1.096,0.002,0,3.964,90,90
ReThO3,Re,Th,cubic,-1.156,1.899,1.011,0,4.538,90,90
ReThO3,Re,Th,cubic,-1.156,1.899,1.011,0,4.538,90,90
RhWO3,Rh,W,cubic,-1.155,0.802,0.365,0,3.9,90,90
WThO3,W,Th,cubic,-1.155,2.04,0.8,0,4.534,90,90
IrPaO3,Ir,Pa,cubic,-1.152,1.027,0.452,0,4.345,90,90
IrTiO3,Ir,Ti,cubic,-1.152,1.113,0.603,0,3.85,90,90
CdRuO3,Cd,Ru,orthorhombic,-1.152,0.102,0.4,0,5.403,90,90
AgNdO3,Ag,Nd,cubic,-1.152,0.827,0.013,0,4.453,90,90
NbNdO3,Nb,Nd,cubic,-1.15,1.975,0.399,0,4.433,90,90
PdYO3,Pd,Y,cubic,-1.149,1.08,0.6,0,4.344,90,90
LuAuO3,Lu,Au,cubic,-1.148,0.973,0,0,4.077,90,90
HoHgO3,Ho,Hg,cubic,-1.147,0.972,0,0,4.181,90,90
FeTlO3,Fe,Tl,orthorhombic,-1.146,0.148,1,0.664,5.458,90,90
ZnTcO3,Zn,Tc,cubic,-1.145,0.535,-0.001,0,3.862,90,90
FeCrO3,Fe,Cr,cubic,-1.145,0.92,1.433,0,3.942,90,90
ReAlO3,Re,Al,cubic,-1.143,1.258,0.769,0,3.661,90,90
LiCoO3,Li,Co,orthorhombic,-1.142,0.223,-0.4,0,4.783,90,90
AgTcO3,Ag,Tc,rhombohedral,-1.141,0.172,0.003,0,5.442,59.8,59.8
RhTmO3,Rh,Tm,cubic,-1.14,1.292,0.802,0,4.226,90,90
CoGeO3,Co,Ge,cubic,-1.14,0.551,0.6,0.867,3.69,90,90
IrKO3,Ir,K,rhombohedral,-1.139,0.186,0.4,0.818,6.326,60.4,60.4
NaRhO3,Na,Rh,orthorhombic,-1.139,0.094,0.09,0,5.244,90,90
PtAlO3,Pt,Al,cubic,-1.139,0.841,0.307,0,3.671,90,90
FeMnO3,Fe,Mn,cubic,-1.138,0.695,1.487,0,3.715,90,90
TeAcO3,Te,Ac,cubic,-1.138,1.236,0.008,0,4.636,90,90
IrRbO3,Ir,Rb,rhombohedral,-1.136,0.154,0.4,0.881,6.345,63.5,63.5
FeCdO3,Fe,Cd,orthorhombic,-1.136,0.225,0.8,0,5.404,90,90
TeWO3,Te,W,cubic,-1.135,0.822,0,0,4.005,90,90
KIrO3,K,Ir,orthorhombic,-1.133,0.192,0.155,0,5.521,90,90
SiNdO3,Si,Nd,cubic,-1.131,2.162,-0.144,0,4.417,90,90
AsTbO3,As,Tb,cubic,-1.131,1.419,0.046,0,4.307,90,90
PaSbO3,Pa,Sb,cubic,-1.13,1.256,0.481,0,4.26,90,90
ScCdO3,Sc,Cd,cubic,-1.13,1.277,0,0,4.063,90,90
AuErO3,Au,Er,cubic,-1.129,0.96,-0.017,0,4.3,90,90
MoCrO3,Mo,Cr,cubic,-1.128,1.082,1.2,0,3.792,90,90
TiSbO3,Ti,Sb,cubic,-1.128,1.344,0.457,0,4.069,90,90
TcDyO3,Tc,Dy,cubic,-1.127,1.563,1.174,0,4.267,90,90
BeHoO3,Be,Ho,cubic,-1.127,1.996,0.206,0,4.222,90,90
AlFeO3,Al,Fe,cubic,-1.125,1.332,0.853,0,3.744,90,90
AuYO3,Au,Y,cubic,-1.123,0.922,0.401,0,4.373,90,90
RhVO3,Rh,V,cubic,-1.122,0.692,0.576,0,3.762,90,90
GeTcO3,Ge,Tc,cubic,-1.121,0.523,0.004,0,3.901,90,90
TcCdO3,Tc,Cd,orthorhombic,-1.121,0.394,0.374,0,5.572,90,90
InOsO3,In,Os,rhombohedral,-1.12,0.325,0.199,0,5.139,67.8,67.8
ErHgO3,Er,Hg,cubic,-1.117,1.013,0,0,4.177,90,90
OsUO3,Os,U,cubic,-1.116,1.524,0.958,0,4.306,90,90
PtScO3,Pt,Sc,cubic,-1.116,1.136,0.599,0,4.026,90,90
AsSmO3,As,Sm,cubic,-1.116,1.531,0.092,0,4.394,90,90
TiZnO3,Ti,Zn,cubic,-1.111,1.504,0.169,0,3.737,90,90
HgMnO3,Hg,Mn,orthorhombic,-1.11,0.123,0.6,0,5.379,90,90
ZrSbO3,Zr,Sb,cubic,-1.109,1.597,0.389,0,4.144,90,90
TaTbO3,Ta,Tb,cubic,-1.108,2.084,0.399,0,4.263,90,90
TeCeO3,Te,Ce,cubic,-1.107,1.313,0,0,4.567,90,90
HfReO3,Hf,Re,cubic,-1.107,1.709,0.068,0,3.91,90,90
ReCdO3,Re,Cd,rhombohedral,-1.104,0.417,0.2,0,5.439,69,69
MgNiO3,Mg,Ni,cubic,-1.102,0.59,0.001,0,3.656,90,90
TaBO3,Ta,B,cubic,-1.101,1.649,0.086,0,3.386,90,90
RuTmO3,Ru,Tm,cubic,-1.1,1.436,0.998,0,4.209,90,90
RhErO3,Rh,Er,cubic,-1.097,1.319,0.806,0,4.251,90,90
RhErO3,Rh,Er,cubic,-1.097,1.319,0.806,0,4.251,90,90
GeReO3,Ge,Re,cubic,-1.095,0.551,0,0,3.919,90,90
MoGdO3,Mo,Gd,cubic,-1.095,1.785,0.604,0,4.32,90,90
BeDyO3,Be,Dy,cubic,-1.094,2.018,0.206,0,4.243,90,90
PaOsO3,Pa,Os,cubic,-1.092,1.116,0.291,0,3.977,90,90
AsMoO3,As,Mo,cubic,-1.092,0.683,0.003,0,3.932,90,90
WTaO3,W,Ta,cubic,-1.092,1.425,0.874,0,3.997,90,90
TcYO3,Tc,Y,cubic,-1.091,1.579,1.107,0,4.296,90,90
VCoO3,V,Co,cubic,-1.09,0.915,0.394,0,3.633,90,90
PbOsO3,Pb,Os,orthorhombic,-1.088,0.15,0.162,0,5.602,90,90
PbRhO3,Pb,Rh,orthorhombic,-1.085,0.067,0,0,5.491,90,90
VAsO3,V,As,cubic,-1.084,0.955,0.627,0,3.821,90,90
BZrO3,B,Zr,cubic,-1.084,1.999,0.001,0,4.141,90,90
SiPrO3,Si,Pr,cubic,-1.084,2.087,-0.133,0,4.447,90,90
TmHgO3,Tm,Hg,cubic,-1.084,1.064,0,0,4.174,90,90
RePaO3,Re,Pa,cubic,-1.082,1.29,1.184,0,4.398,90,90
IrNaO3,Ir,Na,rhombohedral,-1.08,0.252,0.4,0.499,5.91,59.4,59.4
NbPrO3,Nb,Pr,cubic,-1.079,2.028,0.401,0,4.468,90,90
HgReO3,Hg,Re,cubic,-1.079,0.441,0.001,0,3.937,90,90
IrLiO3,Ir,Li,orthorhombic,-1.079,0.299,-0.001,0,5.139,90,90
CuCrO3,Cu,Cr,cubic,-1.078,0.52,0.2,0,3.705,90,90
TeMoO3,Te,Mo,cubic,-1.078,0.652,0.013,0,4,90,90
AsPmO3,As,Pm,cubic,-1.077,1.484,0.015,0,4.416,90,90
PbCoO3,Pb,Co,orthorhombic,-1.077,0.184,0.164,0,5.301,90,90
WLuO3,W,Lu,cubic,-1.076,1.952,0.6,0,4.134,90,90
AuGdO3,Au,Gd,cubic,-1.073,1.001,0.409,0,4.367,90,90
FeReO3,Fe,Re,cubic,-1.072,0.561,0.661,0,3.923,90,90
AuDyO3,Au,Dy,cubic,-1.071,0.995,0.006,0,4.326,90,90
TaMnO3,Ta,Mn,cubic,-1.071,1.599,1.164,0,3.792,90,90
OsZrO3,Os,Zr,cubic,-1.07,1.458,0.838,0,4.117,90,90
ZrOsO3,Zr,Os,cubic,-1.069,1.459,0.012,0,3.9,90,90
SiAcO3,Si,Ac,cubic,-1.067,2.106,0.018,0,4.585,90,90
MgRhO3,Mg,Rh,cubic,-1.067,0.734,0.26,0,3.875,90,90
RhHoO3,Rh,Ho,cubic,-1.065,1.339,0.803,0,4.271,90,90
NbFeO3,Nb,Fe,cubic,-1.065,1.278,1.371,0,3.793,90,90
RhHoO3,Rh,Ho,cubic,-1.065,1.339,0.803,0,4.271,90,90
PtSiO3,Pt,Si,cubic,-1.065,1.016,0.4,0,3.597,90,90
TcGdO3,Tc,Gd,cubic,-1.064,1.598,1.19,0,4.32,90,90
NiMoO3,Ni,Mo,cubic,-1.063,0.743,0.214,0,3.852,90,90
CrOsO3,Cr,Os,cubic,-1.061,0.702,0.933,0,3.87,90,90
BeCrO3,Be,Cr,cubic,-1.06,1.393,0.399,0,3.689,90,90
TiInO3,Ti,In,cubic,-1.06,1.5,0.203,0,4.063,90,90
ReTaO3,Re,Ta,cubic,-1.059,1.388,0.947,0,4.002,90,90
TcBeO3,Tc,Be,cubic,-1.058,1.149,0.471,0,3.416,90,90
BeYO3,Be,Y,cubic,-1.058,2.033,0.207,0,4.265,90,90
HfRhO3,Hf,Rh,cubic,-1.055,1.56,0,0,3.881,90,90
WPaO3,W,Pa,cubic,-1.054,1.458,0.993,0,4.374,90,90
RuErO3,Ru,Er,cubic,-1.052,1.466,1,0,4.232,90,90
PtLuO3,Pt,Lu,cubic,-1.049,1.28,0.601,0,4.202,90,90
TcCuO3,Tc,Cu,orthorhombic,-1.049,0.301,0.239,0,5.272,90,90
RuVO3,Ru,V,cubic,-1.048,0.837,0.876,0,3.778,90,90
AsLaO3,As,La,cubic,-1.048,1.603,-0.002,0,4.472,90,90
MoMgO3,Mo,Mg,cubic,-1.045,1.476,0.4,0,3.714,90,90
TcHgO3,Tc,Hg,orthorhombic,-1.045,0.225,0.063,0,5.579,90,90
TiCuO3,Ti,Cu,cubic,-1.045,1.223,-0.149,0,3.636,90,90
GeFeO3,Ge,Fe,cubic,-1.043,0.777,0.8,0,3.774,90,90
SiMnO3,Si,Mn,cubic,-1.04,1.674,0.602,0,3.739,90,90
BiReO3,Bi,Re,cubic,-1.04,0.506,0.02,0,3.996,90,90
PaIrO3,Pa,Ir,cubic,-1.037,1.142,0.335,0,3.997,90,90
IrAlO3,Ir,Al,cubic,-1.035,1.076,0.011,0,3.635,90,90
OsTiO3,Os,Ti,cubic,-1.035,1.259,0.817,0,3.855,90,90
RhMoO3,Rh,Mo,cubic,-1.034,0.697,0.396,0,3.898,90,90
RhMoO3,Rh,Mo,cubic,-1.034,0.697,0.396,0,3.898,90,90
RbIrO3,Rb,Ir,rhombohedral,-1.034,0.256,0.268,0,5.625,60.1,60.1
NaCoO3,Na,Co,orthorhombic,-1.033,0.269,0.785,0,5.23,90,90
CrRuO3,Cr,Ru,cubic,-1.033,0.778,0.82,0,3.856,90,90
KRhO3,K,Rh,tetragonal,-1.03,0.192,0.424,0,3.925,90,90
RhDyO3,Rh,Dy,cubic,-1.03,1.362,0.801,0,4.291,90,90
RhDyO3,Rh,Dy,cubic,-1.03,1.362,0.801,0,4.291,90,90
MnOsO3,Mn,Os,cubic,-1.029,0.519,1.224,0,3.894,90,90
TeMnO3,Te,Mn,cubic,-1.028,0.657,0.74,0,3.878,90,90
HgTcO3,Hg,Tc,orthorhombic,-1.027,0.243,0.09,0,5.527,90,90
NbCoO3,Nb,Co,cubic,-1.027,1.247,0.146,0,3.652,90,90
SiCeO3,Si,Ce,cubic,-1.026,2.118,-0.007,0,4.492,90,90
TaSmO3,Ta,Sm,cubic,-1.025,2.258,0.4,0,4.36,90,90
CrTeO3,Cr,Te,cubic,-1.024,0.801,0.945,0,4.078,90,90
TcWO3,Tc,W,cubic,-1.022,0.934,0.859,0,3.935,90,90
ZrPdO3,Zr,Pd,cubic,-1.022,1.417,0.011,0,3.931,90,90
CdRhO3,Cd,Rh,orthorhombic,-1.021,0.096,0.2,0,5.385,90,90
CsIrO3,Cs,Ir,tetragonal,-1.021,0.24,0.002,0,3.841,90,90
MoWO3,Mo,W,cubic,-1.019,0.938,0.883,0,3.943,90,90
LuHgO3,Lu,Hg,cubic,-1.018,1.144,-0.005,0,4.169,90,90
MgIrO3,Mg,Ir,cubic,-1.017,0.8,0.193,0,3.898,90,90
RuHoO3,Ru,Ho,cubic,-1.017,1.49,0.999,0,4.252,90,90
AsNdO3,As,Nd,cubic,-1.017,1.601,0.015,0,4.45,90,90
PbIrO3,Pb,Ir,orthorhombic,-1.015,0.211,0,0,5.538,90,90
MoTbO3,Mo,Tb,cubic,-1.013,1.744,0.599,0,4.295,90,90
CoNaO3,Co,Na,rhombohedral,-1.013,0.289,0.4,1.249,5.75,58.1,58.1
AgMnO3,Ag,Mn,orthorhombic,-1.013,0.151,0.596,0,5.328,90,90
PdSmO3,Pd,Sm,cubic,-1.01,1.156,0.6,0,4.398,90,90
BPuO3,B,Pu,cubic,-1.009,2.119,0.6,0,4.261,90,90
MnInO3,Mn,In,cubic,-1.008,0.933,0.898,0,4.083,90,90
PdTbO3,Pd,Tb,cubic,-1.006,1.063,0.593,0,4.349,90,90
NaPtO3,Na,Pt,orthorhombic,-1.005,0.1,0.2,0,5.277,90,90
HfAsO3,Hf,As,cubic,-1.005,1.78,0.156,0,3.941,90,90
CdIrO3,Cd,Ir,orthorhombic,-1.004,0.129,0.169,0,5.417,90,90
MnTeO3,Mn,Te,cubic,-1.004,0.681,1.043,0,4.153,90,90
RhYO3,Rh,Y,cubic,-1.003,1.368,0.804,0,4.308,90,90
KCoO3,K,Co,tetragonal,-1.001,0.246,0.885,0,3.685,90,90
PtWO3,Pt,W,cubic,-1,0.956,0.109,0,3.909,90,90
CuOsO3,Cu,Os,rhombohedral,-1,0.045,0.001,0,5.277,59.1,59.1
RhRbO3,Rh,Rb,orthorhombic,-0.999,0.185,-0.001,0,5.056,90,90
NbCeO3,Nb,Ce,cubic,-0.998,2.09,0.401,0,4.509,90,90
WTmO3,W,Tm,cubic,-0.997,1.949,0.6,0,4.176,90,90
SbTcO3,Sb,Tc,cubic,-0.995,0.56,0.359,0,3.966,90,90
RhKO3,Rh,K,orthorhombic,-0.994,0.227,0.002,0,4.929,90,90
RbRhO3,Rb,Rh,tetragonal,-0.992,0.192,0.397,0,3.834,90,90
PtTmO3,Pt,Tm,cubic,-0.992,1.322,0.601,0,4.243,90,90
PdTcO3,Pd,Tc,orthorhombic,-0.992,0.288,0.008,0,5.218,90,90
TlCoO3,Tl,Co,orthorhombic,-0.991,0.105,0.4,0,5.294,90,90
GaFeO3,Ga,Fe,cubic,-0.988,0.889,0.751,0,3.753,90,90
IrNpO3,Ir,Np,cubic,-0.987,1.559,0.88,0,4.304,90,90
InCoO3,In,Co,cubic,-0.986,0.563,0.004,0,3.721,90,90
OsThO3,Os,Th,cubic,-0.986,1.905,0.902,0,4.538,90,90
RuWO3,Ru,W,cubic,-0.985,0.972,0.597,0,3.913,90,90
BTiO3,B,Ti,cubic,-0.984,1.888,-0.005,0,3.844,90,90
IrNbO3,Ir,Nb,cubic,-0.984,1.158,0.428,0,3.989,90,90
OsTaO3,Os,Ta,cubic,-0.983,1.383,0.669,0,3.978,90,90
TcPuO3,Tc,Pu,cubic,-0.982,1.599,0.736,0,4.327,90,90
AsMnO3,As,Mn,cubic,-0.981,0.783,0.734,0,3.787,90,90
CdCoO3,Cd,Co,rhombohedral,-0.98,0.141,0.195,0,5.167,61.6,61.6
RuDyO3,Ru,Dy,cubic,-0.98,1.515,0.996,0,4.273,90,90
AuLaO3,Au,La,cubic,-0.98,1.167,-0.007,0,4.405,90,90
FeGaO3,Fe,Ga,cubic,-0.979,0.898,0.999,0,3.735,90,90
SnOsO3,Sn,Os,cubic,-0.976,0.545,0.206,0,3.967,90,90
BiOsO3,Bi,Os,orthorhombic,-0.973,0.286,0.107,0,5.322,90,90
ZrIrO3,Zr,Ir,cubic,-0.972,1.527,0.01,0,3.92,90,90
TcMoO3,Tc,Mo,cubic,-0.972,0.831,0.891,0,3.933,90,90
MoSmO3,Mo,Sm,cubic,-0.972,1.869,0.599,0,4.379,90,90
PdCrO3,Pd,Cr,cubic,-0.972,0.554,-0.001,0,3.772,90,90
ZnFeO3,Zn,Fe,cubic,-0.97,0.562,0.798,0,3.718,90,90
GaOsO3,Ga,Os,cubic,-0.97,0.604,0.003,0,3.896,90,90
SbCoO3,Sb,Co,cubic,-0.969,0.549,0,0.194,3.734,90,90
TcSmO3,Tc,Sm,cubic,-0.969,1.647,1.194,0,4.38,90,90
MnAgO3,Mn,Ag,orthorhombic,-0.968,0.195,0.751,0,4.904,90,90
AsPrO3,As,Pr,cubic,-0.966,1.545,0.008,0,4.484,90,90
VNiO3,V,Ni,cubic,-0.965,1.039,0.22,0,3.639,90,90
TcTbO3,Tc,Tb,cubic,-0.964,1.581,1.199,0,4.292,90,90
TlRuO3,Tl,Ru,orthorhombic,-0.96,0.147,0.235,0,5.542,90,90
PaPtO3,Pa,Pt,cubic,-0.96,1.136,0.358,0,4.061,90,90
Mo2O3,Mo,Mo,cubic,-0.959,0.98,0.861,0,3.937,90,90
PdReO3,Pd,Re,cubic,-0.958,0.562,-0.032,0,3.865,90,90
AlCoO3,Al,Co,cubic,-0.957,1.302,0.005,0,3.604,90,90
RhGdO3,Rh,Gd,cubic,-0.957,1.451,0.816,0,4.334,90,90
NbNiO3,Nb,Ni,cubic,-0.956,1.307,0.56,0,3.661,90,90
CuRuO3,Cu,Ru,orthorhombic,-0.955,0.128,0.199,0,5.109,90,90
PaYbO3,Pa,Yb,cubic,-0.951,2.356,0.2,0.341,5.016,90,90
RuYO3,Ru,Y,cubic,-0.951,1.523,0.998,0,4.286,90,90
OsAlO3,Os,Al,cubic,-0.947,1.208,0.862,0,3.665,90,90
PtErO3,Pt,Er,cubic,-0.947,1.349,0.6,0,4.269,90,90
AuSmO3,Au,Sm,cubic,-0.944,1.092,-0.063,0,4.415,90,90
CsRhO3,Cs,Rh,tetragonal,-0.944,0.216,0.385,0,3.881,90,90
PdNdO3,Pd,Nd,cubic,-0.941,1.248,0.6,0,4.475,90,90
VRuO3,V,Ru,cubic,-0.941,0.944,0.28,0,3.872,90,90
TiOsO3,Ti,Os,cubic,-0.939,1.355,0.23,0,3.876,90,90
MnHgO3,Mn,Hg,orthorhombic,-0.939,0.293,0.744,0,5.098,90,90
TcPmO3,Tc,Pm,cubic,-0.938,1.665,1.199,0,4.397,90,90
CoTcO3,Co,Tc,cubic,-0.938,0.58,0.528,0,3.872,90,90
WErO3,W,Er,cubic,-0.938,2.077,0.6,0,4.203,90,90
Fe2O3,Fe,Fe,cubic,-0.936,0.714,1.658,0,3.725,90,90
OsPaO3,Os,Pa,cubic,-0.935,1.273,0.79,0,4.362,90,90
MoPmO3,Mo,Pm,cubic,-0.933,1.875,0.6,0,4.401,90,90
CoBeO3,Co,Be,cubic,-0.932,0.881,0.805,0,3.433,90,90
VInO3,V,In,cubic,-0.931,1.307,0.44,0,4.079,90,90
WNpO3,W,Np,cubic,-0.93,1.949,-0.434,0,4.298,90,90
RePuO3,Re,Pu,cubic,-0.93,1.655,1.795,0,4.344,90,90
SbReO3,Sb,Re,cubic,-0.929,0.637,0.026,0,3.971,90,90
BeSmO3,Be,Sm,cubic,-0.928,2.109,0.213,0,4.362,90,90
BeTbO3,Be,Tb,cubic,-0.928,2.038,0.207,0,4.269,90,90
GaRuO3,Ga,Ru,cubic,-0.923,0.697,0.005,0,3.882,90,90
AuPmO3,Au,Pm,cubic,-0.92,1.059,-0.059,0,4.428,90,90
IrScO3,Ir,Sc,cubic,-0.919,1.464,0.8,0,4.006,90,90
MoGaO3,Mo,Ga,cubic,-0.918,1.105,0.6,0,3.768,90,90
RhNaO3,Rh,Na,rhombohedral,-0.917,0.316,0.4,0.246,5.797,59.7,59.7
RhNaO3,Rh,Na,rhombohedral,-0.917,0.316,0.4,0.246,5.797,59.7,59.7
WNbO3,W,Nb,cubic,-0.916,1.392,0.837,0,4.016,90,90
CoMnO3,Co,Mn,cubic,-0.915,0.734,0,0,3.707,90,90
PtHoO3,Pt,Ho,cubic,-0.914,1.371,0.6,0,4.289,90,90
TlRhO3,Tl,Rh,orthorhombic,-0.914,0.054,0,0,5.44,90,90
BeMnO3,Be,Mn,cubic,-0.913,1.324,0.618,0,3.657,90,90
AuTbO3,Au,Tb,cubic,-0.913,1.007,0.006,0,4.356,90,90
CoSbO3,Co,Sb,cubic,-0.909,0.608,0.442,0,3.986,90,90
BWO3,B,W,cubic,-0.908,1.384,0,0,3.88,90,90
PtVO3,Pt,V,cubic,-0.908,0.831,0.09,0,3.783,90,90
SiTcO3,Si,Tc,cubic,-0.907,1.447,0.004,0,3.887,90,90
MoMnO3,Mo,Mn,cubic,-0.905,1.259,1.4,0,3.792,90,90
AsCeO3,As,Ce,cubic,-0.902,1.665,0.021,0,4.505,90,90
ReNpO3,Re,Np,cubic,-0.901,1.837,1.586,0,4.361,90,90
RuMoO3,Ru,Mo,cubic,-0.9,0.83,0.624,0,3.911,90,90
RuGdO3,Ru,Gd,cubic,-0.9,1.583,1,0,4.318,90,90
WSiO3,W,Si,cubic,-0.9,1.598,0.751,0,3.618,90,90
PbPtO3,Pb,Pt,orthorhombic,-0.899,0.109,0.001,0,5.595,90,90
AuReO3,Au,Re,cubic,-0.894,0.626,0.001,0,3.902,90,90
RuTlO3,Ru,Tl,orthorhombic,-0.893,0.215,0,0,5.512,90,90
MnNiO3,Mn,Ni,cubic,-0.893,0.703,1,0,3.678,90,90
VZnO3,V,Zn,cubic,-0.891,1.27,0.403,0,3.761,90,90
CoTlO3,Co,Tl,rhombohedral,-0.891,0.205,0.798,0.558,5.829,57.3,57.3
SiReO3,Si,Re,cubic,-0.889,1.468,0,0,3.902,90,90
HfOsO3,Hf,Os,cubic,-0.886,1.766,0.001,0,3.897,90,90
MoLaO3,Mo,La,cubic,-0.886,2.005,0.6,0,4.459,90,90
SnNiO3,Sn,Ni,cubic,-0.885,0.784,0.221,0,3.745,90,90
TcNdO3,Tc,Nd,cubic,-0.883,1.693,1.201,0,4.428,90,90
CrInO3,Cr,In,cubic,-0.883,1.28,0.764,0,4.163,90,90
ReLuO3,Re,Lu,cubic,-0.882,1.868,0.8,0,4.153,90,90
HfPdO3,Hf,Pd,cubic,-0.881,1.682,0.001,0,3.925,90,90
TaNdO3,Ta,Nd,cubic,-0.881,2.371,0.4,0,4.429,90,90
ReNbO3,Re,Nb,cubic,-0.881,1.358,0.96,0,4.027,90,90
HgFeO3,Hg,Fe,orthorhombic,-0.88,0.126,0.8,0,5.37,90,90
PtDyO3,Pt,Dy,cubic,-0.88,1.393,0.603,0,4.311,90,90
SnRhO3,Sn,Rh,cubic,-0.88,0.604,0.002,0,3.95,90,90
TaCoO3,Ta,Co,cubic,-0.878,1.6,-0.112,0,3.629,90,90
AuNdO3,Au,Nd,cubic,-0.877,1.148,-0.083,0,4.463,90,90
PmKO3,Pm,K,cubic,-0.876,1.54,-0.029,0,4.191,90,90
ZrCdO3,Zr,Cd,cubic,-0.876,1.798,0.021,0,4.076,90,90
TaWO3,Ta,W,cubic,-0.874,1.643,0.56,0,3.933,90,90
TaMoO3,Ta,Mo,cubic,-0.874,1.64,0.52,0,3.921,90,90
VOsO3,V,Os,cubic,-0.874,0.976,0.505,0,3.871,90,90
HfSbO3,Hf,Sb,cubic,-0.874,1.956,0.35,0,4.147,90,90
OsScO3,Os,Sc,cubic,-0.872,1.555,1.003,0,4.002,90,90
NbTcO3,Nb,Tc,cubic,-0.871,1.367,0.416,0,3.889,90,90
AlRuO3,Al,Ru,cubic,-0.871,1.331,0.212,0,3.87,90,90
SbNiO3,Sb,Ni,cubic,-0.87,0.653,0.201,0,3.754,90,90
AuTcO3,Au,Tc,orthorhombic,-0.869,0.401,0.199,0,5.512,90,90
MoNdO3,Mo,Nd,cubic,-0.868,1.955,0.583,0,4.435,90,90
MnZnO3,Mn,Zn,cubic,-0.867,0.843,0.844,0,3.795,90,90
WVO3,W,V,cubic,-0.867,1.445,1,0,3.817,90,90
RhTbO3,Rh,Tb,cubic,-0.863,1.421,0.799,0,4.312,90,90
IrSiO3,Ir,Si,cubic,-0.862,1.301,0.599,0,3.594,90,90
RhSmO3,Rh,Sm,cubic,-0.862,1.509,0.808,0,4.389,90,90
TaFeO3,Ta,Fe,cubic,-0.862,1.698,1.261,0,3.777,90,90
IrPuO3,Ir,Pu,cubic,-0.861,1.434,1.278,0,4.29,90,90
WMgO3,W,Mg,cubic,-0.859,1.696,0.387,0,3.692,90,90
PtMoO3,Pt,Mo,cubic,-0.859,0.871,0.137,0,3.908,90,90
ScAuO3,Sc,Au,cubic,-0.857,1.187,0.006,0,4.049,90,90
TiRhO3,Ti,Rh,cubic,-0.857,1.4,0.005,0,3.851,90,90
AlOsO3,Al,Os,cubic,-0.857,1.298,0,0,3.896,90,90
PtYO3,Pt,Y,cubic,-0.857,1.395,0.602,0,4.326,90,90
InNiO3,In,Ni,cubic,-0.854,0.564,0.181,0,3.695,90,90
CoFeO3,Co,Fe,cubic,-0.853,0.61,1.406,0,3.717,90,90
BeReO3,Be,Re,cubic,-0.851,1.361,0.006,0,3.851,90,90
RbCoO3,Rb,Co,cubic,-0.851,0.367,0.94,0,3.924,90,90
TaNiO3,Ta,Ni,cubic,-0.846,1.629,0.488,0,3.659,90,90
AuCrO3,Au,Cr,cubic,-0.846,0.536,0.2,0,3.811,90,90
EuCsO3,Eu,Cs,cubic,-0.846,1.155,0,0,4.469,90,90
ZrBiO3,Zr,Bi,cubic,-0.845,1.826,0.341,0,4.318,90,90
WDyO3,W,Dy,cubic,-0.843,2.1,0.602,0,4.253,90,90
FeAsO3,Fe,As,cubic,-0.842,0.71,0.724,0,3.758,90,90
AuPrO3,Au,Pr,cubic,-0.841,1.092,-0.004,0,4.45,90,90
TaLaO3,Ta,La,cubic,-0.839,2.464,0.397,0,4.475,90,90
TiTeO3,Ti,Te,cubic,-0.837,1.498,0.434,0,4.159,90,90
TcPrO3,Tc,Pr,cubic,-0.835,1.719,1.201,0,4.458,90,90
CuMnO3,Cu,Mn,cubic,-0.835,0.558,0.4,0,3.714,90,90
ReBeO3,Re,Be,cubic,-0.834,1.377,0.347,0,3.404,90,90
SiFeO3,Si,Fe,cubic,-0.833,1.668,0.804,0,3.751,90,90
PaTeO3,Pa,Te,cubic,-0.832,1.418,0.504,0,4.255,90,90
MnIrO3,Mn,Ir,cubic,-0.83,0.669,1.207,0,3.905,90,90
ZrTeO3,Zr,Te,cubic,-0.83,1.742,0.382,0,4.2,90,90
ZrPtO3,Zr,Pt,cubic,-0.83,1.587,0.087,0,3.989,90,90
MoBO3,Mo,B,cubic,-0.828,1.453,0.535,0,3.395,90,90
IrLuO3,Ir,Lu,cubic,-0.826,1.634,0.802,0,4.177,90,90
RuBeO3,Ru,Be,cubic,-0.824,1.122,0.009,0,3.399,90,90
TlIrO3,Tl,Ir,orthorhombic,-0.822,0.161,0,0,5.515,90,90
AlNiO3,Al,Ni,cubic,-0.821,1.308,0.177,0,3.613,90,90
CoBO3,Co,B,cubic,-0.819,1.119,0.757,0,3.324,90,90
PtRbO3,Pt,Rb,orthorhombic,-0.819,0.213,0.2,0,6.436,90,90
WYO3,W,Y,cubic,-0.818,2.149,0.599,0,4.255,90,90
PtKO3,Pt,K,orthorhombic,-0.817,0.257,0.2,0.276,6.311,90,90
GeRuO3,Ge,Ru,cubic,-0.817,0.697,0.326,0,3.899,90,90
SnIrO3,Sn,Ir,cubic,-0.815,0.677,0.001,0,3.974,90,90
VCuO3,V,Cu,cubic,-0.814,1.034,-0.43,0,3.665,90,90
MoPrO3,Mo,Pr,cubic,-0.812,1.973,0.603,0,4.471,90,90
CrNiO3,Cr,Ni,cubic,-0.812,0.96,0.797,0,3.671,90,90
FeHgO3,Fe,Hg,orthorhombic,-0.812,0.195,0.852,0,5.322,90,90
