formula,atom a,atom b,lowest distortion,e_form,mu_b,vpa,gap pbe,a,alpha,beta,gamma,e_form oxygen
SrLuO3,Sr,Lu,orthorhombic,-3.083,0.2,14.746,0,5.862,90,90,90,-0.142
ErHfO3,Er,Hf,cubic,-3.081,0,13.445,0,4.066,90,90,90,4.399
SmHoO3,Sm,Ho,cubic,-3.077,0,15.373,1.81,4.252,90,90,90,4.384
LaThO3,La,Th,cubic,-3.077,0.124,19.038,0,4.566,90,90,90,3.971
EuSmO3,Eu,Sm,orthorhombic,-3.075,0.2,15.5,0,5.955,90,90,90,-1.08
TiCeO3,Ti,Ce,rhombohedral,-3.075,0.2,15.697,0.625,6.121,58.6,58.6,58.6,-7.58
EuLaO3,Eu,La,orthorhombic,-3.074,0.2,16.201,0,5.979,90,90,90,-0.814
YbVO3,Yb,V,orthorhombic,-3.073,0.2,10.585,0.346,5.228,90,90,90,3.823
LaTbO3,La,Tb,cubic,-3.071,0,16.182,1.71,4.325,90,90,90,4.6
YTmO3,Y,Tm,cubic,-3.07,0,14.729,1.869,4.192,90,90,90,2.191
BaLuO3,Ba,Lu,orthorhombic,-3.068,0.2,15.95,0,6.085,90,90,90,0.483
CaErO3,Ca,Er,orthorhombic,-3.068,0.2,13.907,0,5.866,90,90,90,-3.292
DyTmO3,Dy,Tm,cubic,-3.066,0,14.691,1.924,4.188,90,90,90,2.116
BeNpO3,Be,Np,rhombohedral,-3.065,0.6,12.345,0,5.995,51.9,51.9,51.9,2.367
NdYO3,Nd,Y,cubic,-3.065,0,15.735,1.82,4.285,90,90,90,4.343
TbCrO3,Tb,Cr,orthorhombic,-3.064,0.6,11.209,2.475,5.286,90,90,90,4.313
GdErO3,Gd,Er,cubic,-3.062,0,15.015,1.779,4.219,90,90,90,4.376
TmLuO3,Tm,Lu,cubic,-3.061,0,14.17,1.726,4.138,90,90,90,1.867
CaScO3,Ca,Sc,orthorhombic,-3.059,0.2,12.549,0,5.624,90,90,90,-0.806
SrTmO3,Sr,Tm,orthorhombic,-3.059,0.2,15.041,0,5.912,90,90,90,-0.296
EuPmO3,Eu,Pm,orthorhombic,-3.057,0.201,15.65,0,5.961,90,90,90,-1.079
PmDyO3,Pm,Dy,cubic,-3.055,0,15.647,1.763,4.277,90,90,90,2.34
CeGdO3,Ce,Gd,cubic,-3.055,0,16.458,1.632,4.35,90,90,90,4.348
TmHfO3,Tm,Hf,cubic,-3.054,0,13.424,0,4.064,90,90,90,4.327
ZrUO3,Zr,U,orthorhombic,-3.052,0.644,14.514,0,6.103,90,90,90,-1.56
SrScO3,Sr,Sc,orthorhombic,-3.05,0.2,13.599,0,5.743,90,90,90,-0.088
PuTaO3,Pu,Ta,orthorhombic,-3.05,1.149,13.127,0,5.677,90,90,90,4.929
ULiO3,U,Li,orthorhombic,-3.047,0.2,10.735,2.256,5.167,90,90,90,-2.292
CsUO3,Cs,U,orthorhombic,-3.045,0.2,17.228,2.721,6.245,90,90,90,4.067
TbLuO3,Tb,Lu,cubic,-3.044,0,14.289,2.003,4.149,90,90,90,4.647
BaScO3,Ba,Sc,cubic,-3.043,0.2,14.6,0,4.179,90,90,90,0.463
AcEuO3,Ac,Eu,orthorhombic,-3.04,0.2,16.695,0,6.033,90,90,90,-0.381
HoTmO3,Ho,Tm,cubic,-3.038,0,14.671,1.806,4.186,90,90,90,1.774
NpBeO3,Np,Be,orthorhombic,-3.038,0.6,9.277,2.095,5.069,90,90,90,1.432
ThHfO3,Th,Hf,cubic,-3.036,0.002,13.852,0,4.107,90,90,90,3.617
SrErO3,Sr,Er,orthorhombic,-3.036,0.2,15.222,0,5.936,90,90,90,-0.37
PmYO3,Pm,Y,cubic,-3.032,0,15.67,1.881,4.279,90,90,90,4.266
ThErO3,Th,Er,cubic,-3.03,0,15.291,0,4.244,90,90,90,3.61
AcNdO3,Ac,Nd,cubic,-3.029,0,18.259,1.828,4.503,90,90,90,4.679
NpGdO3,Np,Gd,cubic,-3.028,0.8,16.325,1.517,4.338,90,90,90,4.648
SmDyO3,Sm,Dy,cubic,-3.027,0,15.621,1.796,4.275,90,90,90,4.233
EuTbO3,Eu,Tb,orthorhombic,-3.023,0.199,14.899,0,5.907,90,90,90,-0.919
SrNbO3,Sr,Nb,orthorhombic,-3.022,0,13.268,0,5.71,90,90,90,5.907
SrHoO3,Sr,Ho,orthorhombic,-3.02,0.2,15.378,0,5.952,90,90,90,-0.41
AcNpO3,Ac,Np,cubic,-3.018,0.794,18.186,0,4.497,90,90,90,4.396
BaErO3,Ba,Er,orthorhombic,-3.016,0.2,16.443,0,6.145,90,90,90,0.302
BaNbO3,Ba,Nb,cubic,-3.016,0,14.034,0,4.125,90,90,90,6.121
PrGdO3,Pr,Gd,cubic,-3.016,0,16.368,1.533,4.342,90,90,90,4.197
GdZrO3,Gd,Zr,cubic,-3.015,0,14.033,0,4.125,90,90,90,4.296
GdHoO3,Gd,Ho,cubic,-3.015,0,15.277,1.648,4.243,90,90,90,1.857
LaTaO3,La,Ta,orthorhombic,-3.01,0.011,13.244,0,5.583,90,90,90,4.629
YErO3,Y,Er,cubic,-3.01,0,15.017,1.895,4.219,90,90,90,1.808
LuHfO3,Lu,Hf,cubic,-3.008,0,13.441,0,4.066,90,90,90,4.267
ErTmO3,Er,Tm,cubic,-3.008,0,14.6,1.701,4.179,90,90,90,2.033
YbUO3,Yb,U,cubic,-3.007,0.346,16.839,0,4.383,90,90,90,4.677
LaNbO3,La,Nb,orthorhombic,-3.006,0.039,13.412,0,5.61,90,90,90,4.563
AcPuO3,Ac,Pu,cubic,-3.005,0.942,17.512,0,4.441,90,90,90,3.324
DyErO3,Dy,Er,cubic,-3.004,0,14.941,1.781,4.212,90,90,90,1.611
SrDyO3,Sr,Dy,orthorhombic,-3.004,0.2,15.533,0,5.974,90,90,90,-0.448
Lu2O3,Lu,Lu,cubic,-3.004,0,14.132,0.853,4.134,90,90,90,1.406
SmYO3,Sm,Y,cubic,-3.003,0,15.62,1.744,4.275,90,90,90,2.084
LuGaO3,Lu,Ga,orthorhombic,-3.002,0,10.647,4.106,5.172,90,90,90,4.166
TiUO3,Ti,U,orthorhombic,-3.001,0.8,13.578,0,5.691,90,90,90,3.769
BaHoO3,Ba,Ho,orthorhombic,-2.999,0.2,16.584,0,6.159,90,90,90,0.243
ZrAlO3,Zr,Al,orthorhombic,-2.998,0.199,9.959,0,5.16,90,90,90,5.22
TmGaO3,Tm,Ga,orthorhombic,-2.997,0,10.799,4.07,5.206,90,90,90,4.273
CeThO3,Ce,Th,cubic,-2.997,0.036,19.04,0,4.566,90,90,90,3.673
UMnO3,U,Mn,orthorhombic,-2.991,1.4,12.781,1.822,5.463,90,90,90,3.81
ErGaO3,Er,Ga,orthorhombic,-2.985,0,10.892,4.076,5.225,90,90,90,4.343
ThHoO3,Th,Ho,cubic,-2.983,0,15.464,0,4.26,90,90,90,3.446
AcLaO3,Ac,La,cubic,-2.983,0,18.986,1.423,4.562,90,90,90,4.187
YZrO3,Y,Zr,cubic,-2.982,0,14.046,0,4.126,90,90,90,4.354
LuMnO3,Lu,Mn,orthorhombic,-2.982,0.8,10.871,0.422,5.189,90,90,90,3.157
BaDyO3,Ba,Dy,orthorhombic,-2.981,0.2,16.739,0,6.177,90,90,90,0.203
TmMnO3,Tm,Mn,orthorhombic,-2.981,0.8,11.019,0.411,5.22,90,90,90,3.296
NdGdO3,Nd,Gd,cubic,-2.98,0,16.298,1.412,4.335,90,90,90,4.071
SrYO3,Sr,Y,orthorhombic,-2.979,0.2,15.653,0,6.007,90,90,90,-0.576
HoGaO3,Ho,Ga,orthorhombic,-2.978,0,10.94,4.108,5.239,90,90,90,4.388
CeTbO3,Ce,Tb,cubic,-2.978,0,16.167,1.754,4.324,90,90,90,4.476
Tm2O3,Tm,Tm,cubic,-2.976,0,14.604,1.456,4.18,90,90,90,1.36
HoErO3,Ho,Er,cubic,-2.975,0,14.906,1.68,4.208,90,90,90,1.354
LuSrO3,Lu,Sr,orthorhombic,-2.972,0.2,15.952,0.922,6.174,90,90,90,-5.38
DyGaO3,Dy,Ga,orthorhombic,-2.972,0,11.058,4.078,5.263,90,90,90,4.452
ErMnO3,Er,Mn,orthorhombic,-2.971,0.8,11.143,0.273,5.243,90,90,90,3.37
NpThO3,Np,Th,cubic,-2.968,0.97,19.029,0,4.565,90,90,90,3.165
ScHfO3,Sc,Hf,cubic,-2.968,0.198,13.277,0,4.049,90,90,90,4.672
SrGdO3,Sr,Gd,orthorhombic,-2.967,0.2,15.863,0,6.005,90,90,90,-0.521
UTmO3,U,Tm,cubic,-2.966,0.6,15.012,0,4.218,90,90,90,3.505
HoMnO3,Ho,Mn,orthorhombic,-2.965,0.8,11.203,0.399,5.257,90,90,90,3.421
AcCaO3,Ac,Ca,orthorhombic,-2.964,0.2,15.873,0,5.994,90,90,90,-1.025
TmSrO3,Tm,Sr,orthorhombic,-2.964,0.2,16.179,0.922,6.216,90,90,90,-4.547
GdDyO3,Gd,Dy,cubic,-2.964,0,15.526,1.71,4.266,90,90,90,1.644
YHoO3,Y,Ho,cubic,-2.963,0,15.248,1.662,4.24,90,90,90,1.406
TbTmO3,Tb,Tm,cubic,-2.963,0,14.73,1.89,4.192,90,90,90,2.365
LiPaO3,Li,Pa,rhombohedral,-2.963,0,13.301,4.216,5.976,54.9,54.9,54.9,5.528
PrThO3,Pr,Th,cubic,-2.963,0.057,18.96,0,4.56,90,90,90,3.52
DyZrO3,Dy,Zr,cubic,-2.962,0,14.002,0,4.122,90,90,90,4.153
DyMnO3,Dy,Mn,orthorhombic,-2.96,0.8,11.308,0.262,5.281,90,90,90,3.481
ThLiO3,Th,Li,orthorhombic,-2.96,0.2,11.706,0,5.129,90,90,90,-0.614
UCrO3,U,Cr,rhombohedral,-2.959,1.2,11.898,0.418,5.471,61.2,61.2,61.2,4.983
DyHoO3,Dy,Ho,cubic,-2.956,0,15.202,1.781,4.236,90,90,90,1.312
VSmO3,V,Sm,orthorhombic,-2.955,0.4,13.425,1.638,5.655,90,90,90,-6.477
LaPmO3,La,Pm,cubic,-2.955,0,17.51,1.205,4.44,90,90,90,3.929
AcNbO3,Ac,Nb,orthorhombic,-2.955,0.001,13.985,0,5.717,90,90,90,4.946
TaEuO3,Ta,Eu,orthorhombic,-2.955,-0.002,13.999,0,5.6,90,90,90,-16.488
GdGaO3,Gd,Ga,orthorhombic,-2.954,0,11.244,4.008,5.305,90,90,90,4.584
LaPuO3,La,Pu,cubic,-2.954,0.957,17.189,0,4.413,90,90,90,3.178
NpTbO3,Np,Tb,cubic,-2.953,0.8,16.029,1.542,4.311,90,90,90,4.487
LiTaO3,Li,Ta,rhombohedral,-2.95,0,10.582,3.544,5.444,56.9,56.9,56.9,5.721
SmNbO3,Sm,Nb,orthorhombic,-2.95,0.001,12.738,0,5.473,90,90,90,3.647
PmTaO3,Pm,Ta,orthorhombic,-2.948,0.001,12.709,0,5.469,90,90,90,3.838
Er2O3,Er,Er,cubic,-2.947,0,14.923,1.559,4.21,90,90,90,1.088
KPaO3,K,Pa,cubic,-2.947,0,16.978,4.236,4.395,90,90,90,6.314
ThCoO3,Th,Co,orthorhombic,-2.947,0.6,12.397,1.864,5.409,90,90,90,3.147
YGaO3,Y,Ga,orthorhombic,-2.946,0,11.113,4.139,5.277,90,90,90,4.486
PmGdO3,Pm,Gd,cubic,-2.945,0,16.231,1.645,4.33,90,90,90,2.173
AcTaO3,Ac,Ta,orthorhombic,-2.945,0,13.765,0,5.615,90,90,90,4.844
MnZrO3,Mn,Zr,orthorhombic,-2.943,1,11.9,3.057,5.383,90,90,90,2.972
TaYbO3,Ta,Yb,orthorhombic,-2.943,-0.001,12.853,0,5.536,90,90,90,-12.815
ThNiO3,Th,Ni,orthorhombic,-2.942,0.4,12.128,3.389,5.38,90,90,90,4.005
PrTbO3,Pr,Tb,cubic,-2.941,0,16.073,1.649,4.315,90,90,90,4.361
PuBeO3,Pu,Be,orthorhombic,-2.941,0.8,9.218,1.431,5.047,90,90,90,1.85
VPmO3,V,Pm,orthorhombic,-2.941,0.4,13.611,1.406,5.67,90,90,90,-6.807
GdYO3,Gd,Y,cubic,-2.94,0,15.525,1.911,4.266,90,90,90,1.453
AlUO3,Al,U,orthorhombic,-2.94,0.567,13.853,0,5.72,90,90,90,2.358
YbNpO3,Yb,Np,cubic,-2.937,0.6,16.614,0,4.363,90,90,90,3.523
HoZrO3,Ho,Zr,cubic,-2.936,0,13.982,0,4.12,90,90,90,4.086
YMnO3,Y,Mn,orthorhombic,-2.936,0.8,11.38,0.379,5.293,90,90,90,3.468
LaGaO3,La,Ga,orthorhombic,-2.935,0,11.923,3.829,5.512,90,90,90,4.934
ThDyO3,Th,Dy,cubic,-2.934,0,15.705,0,4.282,90,90,90,3.257
NdThO3,Nd,Th,cubic,-2.933,0.047,18.964,0,4.56,90,90,90,3.009
NaTaO3,Na,Ta,orthorhombic,-2.932,0,11.773,2.851,5.466,90,90,90,6.194
LaMnO3,La,Mn,orthorhombic,-2.932,0.8,12.188,0,5.509,90,90,90,3.921
NdNbO3,Nd,Nb,orthorhombic,-2.928,0,13.023,0,5.513,90,90,90,3.94
RbPaO3,Rb,Pa,orthorhombic,-2.927,0,17.243,3.98,6.248,90,90,90,6.242
DyMgO3,Dy,Mg,orthorhombic,-2.927,0.201,11.421,0,5.385,90,90,90,-1.468
Ho2O3,Ho,Ho,cubic,-2.927,0,15.17,1.533,4.233,90,90,90,1.256
AlEuO3,Al,Eu,orthorhombic,-2.925,0,12.765,0.226,5.134,90,90,90,-8.901
SrLaO3,Sr,La,orthorhombic,-2.923,0.2,17.059,0,6.108,90,90,90,-0.358
SmGaO3,Sm,Ga,orthorhombic,-2.921,0,11.496,4.124,5.362,90,90,90,4.735
ScSrO3,Sc,Sr,orthorhombic,-2.92,0.2,15.246,0.827,5.918,90,90,90,-6.833
LuTmO3,Lu,Tm,cubic,-2.919,0,14.578,1.025,4.177,90,90,90,0.782
LaMgO3,La,Mg,orthorhombic,-2.917,0.2,12.39,0,5.484,90,90,90,-0.448
SmGdO3,Sm,Gd,cubic,-2.915,0,16.192,1.508,4.326,90,90,90,1.26
NaPaO3,Na,Pa,orthorhombic,-2.915,0,14.555,4.349,5.794,90,90,90,5.96
AcGaO3,Ac,Ga,orthorhombic,-2.914,0,12.393,3.174,5.584,90,90,90,5.294
PrTaO3,Pr,Ta,orthorhombic,-2.914,0,13.054,0,5.526,90,90,90,4.18
CeSmO3,Ce,Sm,cubic,-2.913,0,17.21,1.261,4.415,90,90,90,3.924
SmMnO3,Sm,Mn,orthorhombic,-2.913,0.8,11.743,0,5.376,90,90,90,3.73
VNdO3,V,Nd,orthorhombic,-2.912,0.4,13.858,1.358,5.687,90,90,90,-5.876
SrSmO3,Sr,Sm,orthorhombic,-2.912,0.2,16.302,0,6.051,90,90,90,-0.583
HoSrO3,Ho,Sr,orthorhombic,-2.911,0.2,16.469,0,5.764,90,90,90,-3.942
YDyO3,Y,Dy,cubic,-2.911,0,15.491,1.445,4.263,90,90,90,1.026
GdMgO3,Gd,Mg,orthorhombic,-2.91,0.2,11.581,0,5.347,90,90,90,-1.244
ThYO3,Th,Y,cubic,-2.91,0,15.725,0,4.284,90,90,90,3.271
ErZrO3,Er,Zr,cubic,-2.91,0,13.973,0,4.119,90,90,90,4.018
ThZrO3,Th,Zr,cubic,-2.908,0,14.343,0,4.155,90,90,90,3.23
DySrO3,Dy,Sr,orthorhombic,-2.905,0.2,16.66,0,5.809,90,90,90,-3.729
NdTbO3,Nd,Tb,cubic,-2.905,0,16.004,1.693,4.309,90,90,90,4.27
PmMnO3,Pm,Mn,orthorhombic,-2.905,0.8,11.834,0,5.398,90,90,90,3.763
Dy2O3,Dy,Dy,cubic,-2.904,0,15.461,1.645,4.26,90,90,90,0.855
BaLaO3,Ba,La,orthorhombic,-2.903,0.2,18.41,0,6.34,90,90,90,0.259
TbErO3,Tb,Er,cubic,-2.902,0,14.97,1.887,4.214,90,90,90,4.277
YMgO3,Y,Mg,orthorhombic,-2.902,0.201,11.506,0,5.423,90,90,90,-1.468
PmThO3,Pm,Th,cubic,-2.902,0.077,18.902,0,4.555,90,90,90,2.636
CaVO3,Ca,V,orthorhombic,-2.901,0.2,10.892,0.435,5.28,90,90,90,3.563
PbThO3,Pb,Th,orthorhombic,-2.898,0,17.337,2.938,6.109,90,90,90,3.431
SrPmO3,Sr,Pm,orthorhombic,-2.897,0.2,16.476,0,6.066,90,90,90,-0.597
ErHoO3,Er,Ho,cubic,-2.897,0,15.123,1.411,4.229,90,90,90,0.759
NpNbO3,Np,Nb,orthorhombic,-2.895,0.76,13.013,0,5.49,90,90,90,3.591
ScTiO3,Sc,Ti,cubic,-2.894,0.01,11.233,0,3.83,90,90,90,3.687
NpTaO3,Np,Ta,rhombohedral,-2.893,0.75,12.8,0,5.371,67.9,67.9,67.9,3.44
CeNbO3,Ce,Nb,orthorhombic,-2.893,0.003,13.428,0,5.583,90,90,90,4.295
CaNpO3,Ca,Np,cubic,-2.892,0.6,16.845,0,4.383,90,90,90,3.625
CeTaO3,Ce,Ta,orthorhombic,-2.892,0,13.268,0,5.56,90,90,90,4.367
NdGaO3,Nd,Ga,orthorhombic,-2.891,0,11.664,3.895,5.426,90,90,90,4.861
UBeO3,U,Be,cubic,-2.89,0.4,9.175,0,3.58,90,90,90,2.891
TaAcO3,Ta,Ac,rhombohedral,-2.889,0,17.361,1.223,6.155,62.4,62.4,62.4,-6.053
VPrO3,V,Pr,orthorhombic,-2.888,0.4,14.118,1.315,5.723,90,90,90,-7.01
Y2O3,Y,Y,cubic,-2.888,0,15.51,1.751,4.264,90,90,90,1.075
ErSrO3,Er,Sr,orthorhombic,-2.886,0.2,15.856,0,5.898,90,90,90,-4.194
NdMnO3,Nd,Mn,orthorhombic,-2.885,0.8,11.967,0,5.428,90,90,90,3.843
KNpO3,K,Np,orthorhombic,-2.884,0.4,15.98,1.897,6.072,90,90,90,1.454
SrVO3,Sr,V,orthorhombic,-2.882,0.2,11.693,0,5.437,90,90,90,3.786
YSrO3,Y,Sr,orthorhombic,-2.882,0.2,16.643,0,5.812,90,90,90,-3.605
LiNpO3,Li,Np,rhombohedral,-2.882,0.4,12.707,1.647,5.877,55.1,55.1,55.1,1.274
TmZrO3,Tm,Zr,cubic,-2.882,0,13.976,0,4.119,90,90,90,3.957
SmMgO3,Sm,Mg,orthorhombic,-2.881,0.2,11.798,0,5.346,90,90,90,-0.964
DyYO3,Dy,Y,cubic,-2.881,-0.001,15.453,1.803,4.259,90,90,90,0.899
MgHfO3,Mg,Hf,cubic,-2.878,0,13.227,1.009,4.044,90,90,90,3.554
SmThO3,Sm,Th,cubic,-2.877,0.084,18.905,0,4.555,90,90,90,2.673
PmMgO3,Pm,Mg,orthorhombic,-2.875,0.2,11.885,0,5.363,90,90,90,-0.848
HoDyO3,Ho,Dy,cubic,-2.875,0,15.432,1.383,4.257,90,90,90,0.661
PrGaO3,Pr,Ga,orthorhombic,-2.875,0,11.788,3.774,5.468,90,90,90,4.936
AcUO3,Ac,U,cubic,-2.874,0.525,17.809,0,4.466,90,90,90,2.892
SrAcO3,Sr,Ac,orthorhombic,-2.874,0.2,18.136,0,6.232,90,90,90,-0.007
NbYbO3,Nb,Yb,orthorhombic,-2.874,0.197,12.862,0,5.65,90,90,90,-10.296
BeGdO3,Be,Gd,orthorhombic,-2.873,0,10.575,0.238,4.741,90,90,90,-5.439
PrSmO3,Pr,Sm,cubic,-2.872,0,17.13,1.274,4.408,90,90,90,3.759
BaPmO3,Ba,Pm,orthorhombic,-2.872,0.2,17.779,0,6.265,90,90,90,0.072
BeLaO3,Be,La,orthorhombic,-2.872,0,11.458,0.262,4.859,90,90,90,-5.623
CsPaO3,Cs,Pa,orthorhombic,-2.871,0,17.747,3.798,6.308,90,90,90,5.841
PmTbO3,Pm,Tb,cubic,-2.871,0,15.929,1.566,4.302,90,90,90,4.113
LaNdO3,La,Nd,cubic,-2.871,0,17.976,1.024,4.479,90,90,90,3.701
Sc2O3,Sc,Sc,cubic,-2.87,0,12.365,1.319,3.954,90,90,90,1.199
UKO3,U,K,orthorhombic,-2.87,0.2,17.52,2.296,5.403,90,90,90,-3.13
UNaO3,U,Na,orthorhombic,-2.87,0.2,13.162,2.597,5.483,90,90,90,-4.483
PrMnO3,Pr,Mn,orthorhombic,-2.868,0.8,12.077,0,5.468,90,90,90,3.883
LaUO3,La,U,cubic,-2.868,0.565,17.215,0,4.415,90,90,90,3.368
GdSrO3,Gd,Sr,orthorhombic,-2.867,0.108,16.796,0,5.868,90,90,90,-3.373
YbTmO3,Yb,Tm,cubic,-2.866,0.2,14.722,0,4.191,90,90,90,-1.312
NbEuO3,Nb,Eu,orthorhombic,-2.865,-0.003,14.096,0,5.68,90,90,90,-12.689
SrNdO3,Sr,Nd,orthorhombic,-2.865,0.2,16.743,0,6.095,90,90,90,-0.671
AcCeO3,Ac,Ce,cubic,-2.864,0,19.228,1.439,4.581,90,90,90,4.197
VAlO3,V,Al,orthorhombic,-2.863,0.4,8.938,1.896,4.981,90,90,90,-0.28
NpGaO3,Np,Ga,orthorhombic,-2.862,0.8,11.752,2.042,5.468,90,90,90,4.907
VCeO3,V,Ce,orthorhombic,-2.861,0.4,14.417,1.39,5.738,90,90,90,-7.387
TmBaO3,Tm,Ba,orthorhombic,-2.861,0.201,18.032,0.645,6.429,90,90,90,-8.566
CePmO3,Ce,Pm,cubic,-2.861,0,17.506,1.226,4.44,90,90,90,3.726
UThO3,U,Th,cubic,-2.86,0.798,19.09,0,4.57,90,90,90,3.054
VYbO3,V,Yb,orthorhombic,-2.858,0.2,12.678,1.333,5.393,90,90,90,-7.759
BaAcO3,Ba,Ac,orthorhombic,-2.857,0.2,19.583,0,6.449,90,90,90,0.61
NdMgO3,Nd,Mg,orthorhombic,-2.857,0.2,12.04,0,5.383,90,90,90,-0.68
RbNpO3,Rb,Np,orthorhombic,-2.857,0.4,16.464,1.899,6.148,90,90,90,1.678
GaAcO3,Ga,Ac,orthorhombic,-2.856,0,15.888,2.996,4.54,90,90,90,-2.981
LuErO3,Lu,Er,cubic,-2.856,0,14.843,0.878,4.202,90,90,90,0.359
SrTbO3,Sr,Tb,orthorhombic,-2.854,0.2,15.685,0,5.979,90,90,90,-0.493
TbHoO3,Tb,Ho,cubic,-2.854,0,15.23,1.749,4.239,90,90,90,1.499
CeGaO3,Ce,Ga,orthorhombic,-2.853,0,11.912,3.706,5.507,90,90,90,5.033
NaNpO3,Na,Np,orthorhombic,-2.851,0.4,13.777,1.898,5.655,90,90,90,2.658
HoYO3,Ho,Y,cubic,-2.851,0,15.423,1.438,4.256,90,90,90,0.644
Gd2O3,Gd,Gd,cubic,-2.85,0,16.115,1.454,4.319,90,90,90,0.68
CrNpO3,Cr,Np,orthorhombic,-2.849,1.4,13.382,1.711,5.474,90,90,90,0.952
CeMnO3,Ce,Mn,orthorhombic,-2.848,0.8,12.222,0,5.503,90,90,90,3.949
ErBaO3,Er,Ba,orthorhombic,-2.848,0.2,18.174,0.641,6.465,90,90,90,-8.217
ErDyO3,Er,Dy,cubic,-2.844,0,15.36,1.129,4.251,90,90,90,0.313
NpMnO3,Np,Mn,rhombohedral,-2.843,1.6,11.863,0,5.463,61.3,61.3,61.3,5.185
PrMgO3,Pr,Mg,orthorhombic,-2.843,0.2,12.191,0,5.412,90,90,90,-0.545
CrGdO3,Cr,Gd,rhombohedral,-2.842,0.6,14.076,1.599,6.077,55.1,55.1,55.1,-5.024
SmTbO3,Sm,Tb,cubic,-2.842,0,15.898,1.608,4.3,90,90,90,2.172
BaNdO3,Ba,Nd,orthorhombic,-2.841,0.2,18.073,0,6.3,90,90,90,0.042
ThYbO3,Th,Yb,cubic,-2.84,0,14.427,0.379,4.163,90,90,90,0.492
HoBaO3,Ho,Ba,orthorhombic,-2.84,0.2,18.294,0.644,6.493,90,90,90,-7.927
SrPrO3,Sr,Pr,orthorhombic,-2.838,0.2,16.993,0,6.11,90,90,90,-0.673
BePmO3,Be,Pm,orthorhombic,-2.836,0,10.952,0.36,4.75,90,90,90,-5.832
PaAlO3,Pa,Al,orthorhombic,-2.836,0.4,10.95,0,5.383,90,90,90,5.281
GaYO3,Ga,Y,rhombohedral,-2.835,0,13.399,3.344,5.952,55.6,55.6,55.6,-5.202
KThO3,K,Th,orthorhombic,-2.835,0.2,18.058,0,6.331,90,90,90,0.358
URbO3,U,Rb,orthorhombic,-2.834,0.2,18.845,2.31,5.387,90,90,90,-10.746
LuZrO3,Lu,Zr,cubic,-2.834,0,13.993,0,4.121,90,90,90,3.882
NdSmO3,Nd,Sm,cubic,-2.834,0,17.064,1.318,4.402,90,90,90,0.939
TbGaO3,Tb,Ga,orthorhombic,-2.833,0,11.149,3.981,5.285,90,90,90,4.521
PaTiO3,Pa,Ti,orthorhombic,-2.832,0.2,12.303,0,5.419,90,90,90,4.256
DyBaO3,Dy,Ba,orthorhombic,-2.831,0.201,18.45,0.638,6.509,90,90,90,-7.677
BaTbO3,Ba,Tb,orthorhombic,-2.831,0.199,16.947,0,6.189,90,90,90,0.154
RbThO3,Rb,Th,cubic,-2.831,0.193,19.014,0,4.564,90,90,90,0.483
SmSrO3,Sm,Sr,orthorhombic,-2.83,0.11,17.107,0,5.949,90,90,90,-2.965
TaPuO3,Ta,Pu,rhombohedral,-2.83,1,15.116,0.779,5.716,66.7,66.7,66.7,-8.643
TaLiO3,Ta,Li,orthorhombic,-2.828,0,9.486,2.991,4.748,90,90,90,-2.44
CeNpO3,Ce,Np,cubic,-2.828,0.779,17.546,0,4.443,90,90,90,3.721
La2O3,La,La,cubic,-2.825,0,19.361,0.595,4.592,90,90,90,3.112
CeMgO3,Ce,Mg,orthorhombic,-2.825,0.2,12.385,0,5.453,90,90,90,-0.376
PrPuO3,Pr,Pu,cubic,-2.825,0.928,16.812,0,4.381,90,90,90,2.766
ThGdO3,Th,Gd,cubic,-2.825,0.001,16.307,0,4.336,90,90,90,2.857
RbTaO3,Rb,Ta,tetragonal,-2.824,0,13.367,2.228,4.027,90,90,90,6.335
YbErO3,Yb,Er,cubic,-2.823,0.2,14.966,0,4.214,90,90,90,-1.373
GdThO3,Gd,Th,cubic,-2.822,0.011,18.865,0,4.552,90,90,90,2.501
GaGdO3,Ga,Gd,rhombohedral,-2.822,0,13.7,3.228,5.996,55.6,55.6,55.6,-4.671
TbMnO3,Tb,Mn,orthorhombic,-2.822,0.8,11.406,0.258,5.301,90,90,90,3.52
ErYO3,Er,Y,cubic,-2.821,0,15.395,1.447,4.254,90,90,90,0.436
CrLaO3,Cr,La,rhombohedral,-2.821,0.6,15.593,1.759,6.264,55.6,55.6,55.6,-4.876
PrPmO3,Pr,Pm,cubic,-2.818,0,17.418,1.093,4.433,90,90,90,3.55
ScBaO3,Sc,Ba,orthorhombic,-2.818,0.002,17.299,0,6.038,90,90,90,-9.719
TmBeO3,Tm,Be,tetragonal,-2.817,0.032,9.338,0,3.266,90,90,90,-1.191
CsThO3,Cs,Th,tetragonal,-2.816,0.199,19.628,0,4.6,90,90,90,0.428
BaPrO3,Ba,Pr,orthorhombic,-2.815,0.2,18.356,0,6.323,90,90,90,0.014
UDyO3,U,Dy,cubic,-2.815,0.6,15.753,0,4.287,90,90,90,3.396
EuMoO3,Eu,Mo,orthorhombic,-2.815,0.002,12.007,0,5.49,90,90,90,4.925
LuBeO3,Lu,Be,tetragonal,-2.814,0.02,9.222,0,3.241,90,90,90,-1.355
YBaO3,Y,Ba,orthorhombic,-2.811,0.2,18.577,0.709,6.515,90,90,90,-7.335
TmDyO3,Tm,Dy,cubic,-2.811,0,15.37,1.006,4.252,90,90,90,0.065
