formula,atom a,atom b,lowest distortion,e_form,e_hull,mu_b,vpa,gap pbe,a,c,alpha,gamma,e_form oxygen
LuCeO3,Lu,Ce,cubic,-2.148,1.593,0.003,18.538,0,4.526,4.526,90,90,1.61
MgTmO3,Mg,Tm,cubic,-2.147,1.006,0.2,14.775,0,4.196,4.196,90,90,-2.488
TbTlO3,Tb,Tl,orthorhombic,-2.147,0.101,0.001,14.155,1.054,5.584,8.522,90,90,0.612
PuZnO3,Pu,Zn,cubic,-2.147,0.469,0.893,11.516,0,3.862,3.862,90,90,-0.405
ErWO3,Er,W,cubic,-2.147,0.867,0,12.372,0,3.955,3.955,90,90,0.934
DyInO3,Dy,In,cubic,-2.146,0.701,0,13.544,1.635,4.076,4.076,90,90,2.656
ThUO3,Th,U,cubic,-2.146,1.542,0.769,22.757,0,4.846,4.846,90,90,-2.369
AcOsO3,Ac,Os,orthorhombic,-2.146,0.167,0.109,13.292,0,5.463,7.989,90,90,2.322
ErRbO3,Er,Rb,orthorhombic,-2.146,0.371,0,17.854,1.316,6.105,9.519,90,90,-3.596
TbLiO3,Tb,Li,orthorhombic,-2.145,0.317,0.4,10.487,0,4.995,7.265,90,90,-1.235
TmGeO3,Tm,Ge,cubic,-2.144,0.672,0,11.398,0,3.848,3.848,90,90,2.604
LuMoO3,Lu,Mo,cubic,-2.143,0.808,0.002,12.264,0,3.943,3.943,90,90,1.071
RbMoO3,Rb,Mo,rhombohedral,-2.143,0.13,0,12.656,0,5.636,5.636,60,60,4.668
SbPaO3,Sb,Pa,orthorhombic,-2.143,0.242,0,16.276,1.179,6.35,8.062,90,90,2.381
RbHoO3,Rb,Ho,rhombohedral,-2.143,0.362,0.4,17.517,0,6.246,6.246,60.7,60.7,-0.738
TbCuO3,Tb,Cu,orthorhombic,-2.142,-0.04,0,11.072,0,5.23,7.228,90,90,0.77
CuTiO3,Cu,Ti,orthorhombic,-2.142,0.126,0.2,9.718,0.653,4.937,7.512,90,90,-0.66
NdPdO3,Nd,Pd,orthorhombic,-2.142,0.047,0.001,12.681,0,5.517,7.726,90,90,0.583
DyCaO3,Dy,Ca,cubic,-2.141,1.075,0.2,13.605,0,4.082,4.082,90,90,-2.929
HoRbO3,Ho,Rb,orthorhombic,-2.141,0.364,0,17.95,1.164,6.129,9.477,90,90,-8.649
YEuO3,Y,Eu,cubic,-2.141,1.122,0.107,15.424,0,4.256,4.256,90,90,-2.293
ZrTaO3,Zr,Ta,cubic,-2.14,0.916,0.369,12.683,0,3.988,3.988,90,90,2.082
TlPrO3,Tl,Pr,orthorhombic,-2.14,0.117,0,15.939,0.971,5.998,8.756,90,90,-2.864
TcCeO3,Tc,Ce,rhombohedral,-2.14,0.386,0.4,15.498,0.354,5.933,5.933,62.2,62.2,-6.743
WLiO3,W,Li,orthorhombic,-2.139,0.268,0.07,9.376,0,4.763,7.786,90,90,-5.097
ZrTlO3,Zr,Tl,orthorhombic,-2.139,0.386,0.001,14.796,0,6.066,8.007,90,90,-2.018
CdNpO3,Cd,Np,cubic,-2.139,0.581,0.432,16.076,0,4.316,4.316,90,90,1.886
ScPmO3,Sc,Pm,cubic,-2.139,1.616,-0.001,17.037,0,4.4,4.4,90,90,-4.218
EuCoO3,Eu,Co,orthorhombic,-2.138,-0.038,0.6,10.583,0,5.258,7.577,90,90,1.59
PmSnO3,Pm,Sn,cubic,-2.138,0.594,0,14.065,0,4.128,4.128,90,90,2.569
WRbO3,W,Rb,orthorhombic,-2.138,0.238,0,18.834,0,5.34,10.783,90,90,-5.054
FeNbO3,Fe,Nb,orthorhombic,-2.137,0.205,0.603,11.027,0,5.289,7.654,90,90,3.879
SmKO3,Sm,K,orthorhombic,-2.137,0.291,0,17.217,1.596,6.325,8.505,90,90,-3.394
InPuO3,In,Pu,cubic,-2.137,0.601,0.649,16.548,0,4.358,4.358,90,90,1.083
SbThO3,Sb,Th,cubic,-2.137,0.932,0,18.97,0,4.561,4.561,90,90,0.537
UNiO3,U,Ni,cubic,-2.136,0.652,0.8,10.883,0,3.789,3.789,90,90,0.946
InEuO3,In,Eu,orthorhombic,-2.136,0.166,0.2,14.997,0.792,5.686,8.723,90,90,-5.739
RbScO3,Rb,Sc,cubic,-2.136,0.336,0.399,14.952,0,4.213,4.213,90,90,-0.889
HfTmO3,Hf,Tm,cubic,-2.136,1.557,0.145,14.389,0,4.159,4.159,90,90,-5.651
BiTmO3,Bi,Tm,cubic,-2.135,0.568,0,15.235,0.282,4.239,4.239,90,90,-0.198
YRbO3,Y,Rb,orthorhombic,-2.135,0.338,0,18.335,1.451,6.164,9.515,90,90,-8.123
SrEuO3,Sr,Eu,cubic,-2.133,0.521,0.037,15.52,0,4.265,4.265,90,90,-1.035
KDyO3,K,Dy,cubic,-2.133,0.369,0.4,17.226,0,4.416,4.416,90,90,-0.865
CsErO3,Cs,Er,cubic,-2.133,0.379,0.399,18.013,0,4.483,4.483,90,90,-0.71
GdTcO3,Gd,Tc,cubic,-2.132,0.529,0.314,12.216,0,3.938,3.938,90,90,1.449
FeYbO3,Fe,Yb,orthorhombic,-2.132,0.252,1.081,12.484,0,5.523,8.013,90,90,-6.404
ReYbO3,Re,Yb,rhombohedral,-2.131,0.297,0.2,13.64,0,5.659,5.659,62.9,62.9,-13.025
ReYbO3,Re,Yb,rhombohedral,-2.131,0.297,0.2,13.64,0,5.659,5.659,62.9,62.9,-13.025
DyEuO3,Dy,Eu,cubic,-2.131,1.152,0.105,15.365,0,4.251,4.251,90,90,-2.368
FeEuO3,Fe,Eu,orthorhombic,-2.13,0.286,0.8,13.439,0.232,5.643,8.401,90,90,-7.932
InVO3,In,V,rhombohedral,-2.129,0.109,0.4,11.215,0.327,5.418,5.418,59.9,59.9,1.484
RbDyO3,Rb,Dy,rhombohedral,-2.127,0.366,0.4,17.726,0,6.282,6.282,60.5,60.5,-0.784
PrPdO3,Pr,Pd,orthorhombic,-2.127,0.01,0.001,12.876,0,5.552,7.794,90,90,0.75
LaPtO3,La,Pt,orthorhombic,-2.127,0.077,0,13.219,0,5.638,7.686,90,90,0.551
HoCaO3,Ho,Ca,cubic,-2.126,1.102,0.2,13.936,0,4.115,4.115,90,90,-2.948
ZrYO3,Zr,Y,cubic,-2.126,1.422,0.2,15.277,0,4.243,4.243,90,90,-4.92
SbUO3,Sb,U,cubic,-2.125,0.694,0.134,16.576,0,4.36,4.36,90,90,2.138
NbHfO3,Nb,Hf,cubic,-2.125,1.041,0.6,13.363,0,4.058,4.058,90,90,-0.26
WKO3,W,K,orthorhombic,-2.125,0.247,0,17.2,0,5.315,10.199,90,90,-11.031
MnBaO3,Mn,Ba,orthorhombic,-2.124,0.256,0.6,16.689,0.628,5.643,9.832,90,90,-6.269
HoInO3,Ho,In,cubic,-2.123,0.736,0,13.674,1.521,4.089,4.089,90,90,2.645
BiEuO3,Bi,Eu,orthorhombic,-2.122,0.133,0,15.624,0,5.923,8.628,90,90,-4.267
SnScO3,Sn,Sc,cubic,-2.122,0.675,-0.01,13.425,0,4.064,4.064,90,90,-0.585
TiBeO3,Ti,Be,cubic,-2.121,1.011,0,7.526,0,3.351,3.351,90,90,-0.819
CuNbO3,Cu,Nb,rhombohedral,-2.121,0.066,0,11.121,0.787,5.59,5.59,55.7,55.7,4.362
TmWO3,Tm,W,cubic,-2.119,0.826,0.002,12.354,0,3.953,3.953,90,90,0.777
CsWO3,Cs,W,tetragonal,-2.119,0.086,-0.001,16.497,0,3.879,5.483,90,90,4.755
UBO3,U,B,cubic,-2.116,1.062,0.579,9.215,0,3.585,3.585,90,90,3.382
SmSnO3,Sm,Sn,cubic,-2.114,0.694,0,14.015,0,4.123,4.123,90,90,2.518
ThGeO3,Th,Ge,cubic,-2.114,1.026,0,12.904,0,4.011,4.011,90,90,1.598
UTcO3,U,Tc,cubic,-2.111,0.691,0.876,12.613,0,3.98,3.98,90,90,1.893
KYO3,K,Y,orthorhombic,-2.11,0.38,0.4,17.362,0,6.167,8.859,90,90,-0.871
SnNbO3,Sn,Nb,tetragonal,-2.11,0.206,0,13.523,0,4.05,4.086,90,90,4.737
EuRhO3,Eu,Rh,orthorhombic,-2.109,-0.128,0.194,11.66,0,5.371,7.717,90,90,1.403
TaGaO3,Ta,Ga,orthorhombic,-2.109,0.432,0,13.193,0,6.13,6.729,90,90,1.424
NaErO3,Na,Er,rhombohedral,-2.109,0.434,0.4,14.272,0,5.811,5.811,61.3,61.3,-1.302
MnScO3,Mn,Sc,cubic,-2.108,0.805,0.798,12.927,0,4.013,4.013,90,90,-1.879
CePdO3,Ce,Pd,orthorhombic,-2.107,-0.08,0.001,13.064,0,5.589,7.859,90,90,0.911
TbGeO3,Tb,Ge,cubic,-2.107,0.523,0,11.618,0,3.873,3.873,90,90,2.859
RbYO3,Rb,Y,orthorhombic,-2.107,0.366,0.4,17.984,0,6.299,8.97,90,90,-0.788
YbIrO3,Yb,Ir,orthorhombic,-2.106,-0.064,0.048,11.119,0,5.168,7.55,90,90,0.609
CdAcO3,Cd,Ac,orthorhombic,-2.106,0.179,0.2,16.436,0,6.085,8.756,90,90,-2.851
CrAlO3,Cr,Al,cubic,-2.105,0.768,0.6,9.626,0,3.638,3.638,90,90,-0.85
MgErO3,Mg,Er,cubic,-2.104,1.032,0.2,14.993,0,4.217,4.217,90,90,-2.566
AcPtO3,Ac,Pt,orthorhombic,-2.101,0.037,0,14.009,0,5.811,7.805,90,90,1.204
LuKO3,Lu,K,orthorhombic,-2.1,0.458,0.4,17.209,0,5.756,10.357,90,90,-4.315
CeOsO3,Ce,Os,orthorhombic,-2.1,0.183,0.103,12.655,0,5.342,7.827,90,90,1.463
AgZrO3,Ag,Zr,orthorhombic,-2.099,0.187,-0.034,12.568,0,5.398,8.052,90,90,-0.445
UGeO3,U,Ge,cubic,-2.099,0.759,0.693,12.104,0,3.926,3.926,90,90,2.243
ErCaO3,Er,Ca,cubic,-2.099,1.14,0.2,13.969,0,4.118,4.118,90,90,-3.043
CuTmO3,Cu,Tm,rhombohedral,-2.098,0.212,0.4,12.846,0.384,5.95,5.95,54.1,54.1,-4.013
EuIrO3,Eu,Ir,orthorhombic,-2.097,-0.043,0.051,11.766,0,5.351,7.722,90,90,1.311
BaFeO3,Ba,Fe,cubic,-2.095,0,0.826,12.547,0,3.973,3.973,90,90,1.185
LuGeO3,Lu,Ge,cubic,-2.095,0.736,0,11.32,0,3.84,3.84,90,90,2.514
ErInO3,Er,In,cubic,-2.095,0.775,0,13.618,1.406,4.083,4.083,90,90,2.577
KGdO3,K,Gd,cubic,-2.094,0.38,0.4,17.681,0,4.455,4.455,90,90,-0.88
HgThO3,Hg,Th,cubic,-2.094,0.63,-0.116,18.664,0,4.536,4.536,90,90,-1.739
TbWO3,Tb,W,cubic,-2.094,0.666,0,12.425,0,3.961,3.961,90,90,1.37
PmPtO3,Pm,Pt,orthorhombic,-2.094,0.093,0,12.675,0,5.53,7.513,90,90,0.022
AuPaO3,Au,Pa,rhombohedral,-2.093,-0.14,0,15.048,1.537,6.121,6.121,56.9,56.9,2.677
RbGdO3,Rb,Gd,cubic,-2.092,0.373,0.4,18.145,0,4.493,4.493,90,90,-0.79
ThNaO3,Th,Na,cubic,-2.092,0.983,0.2,12.146,0,3.931,3.931,90,90,-2.198
CsYO3,Cs,Y,cubic,-2.091,0.377,0.4,18.654,0,4.535,4.535,90,90,-0.732
MoRbO3,Mo,Rb,orthorhombic,-2.089,0.184,0.021,18.867,0,5.46,10.825,90,90,-20.254
NpAsO3,Np,As,cubic,-2.088,0.62,0.818,13.292,0,4.051,4.051,90,90,2.908
HoLiO3,Ho,Li,cubic,-2.087,0.531,0.399,9.5,0,3.622,3.622,90,90,-1.396
BiErO3,Bi,Er,cubic,-2.085,0.6,0,15.533,0,4.266,4.266,90,90,-0.31
SbScO3,Sb,Sc,cubic,-2.084,0.61,0,13.031,0.834,4.024,4.024,90,90,0.35
ZnZrO3,Zn,Zr,cubic,-2.084,0.756,0.001,13.86,0,4.108,4.108,90,90,-0.544
LaSrO3,La,Sr,cubic,-2.083,1.01,0.003,17.103,0,4.406,4.406,90,90,-2.213
YTcO3,Y,Tc,cubic,-2.083,0.587,0.321,12.18,0,3.934,3.934,90,90,1.315
HgTaO3,Hg,Ta,cubic,-2.082,0.2,0,12.982,0,4.019,4.019,90,90,2.814
EuBO3,Eu,B,cubic,-2.082,0.846,0.187,8.35,0,3.469,3.469,90,90,-0.822
NbKO3,Nb,K,rhombohedral,-2.079,0.618,0,17.934,2.177,6.353,6.353,59.5,59.5,-19.044
TeHfO3,Te,Hf,cubic,-2.079,0.614,0,14.002,0,4.122,4.122,90,90,2.379
EuCaO3,Eu,Ca,cubic,-2.078,0.585,0.4,15.155,0,4.232,4.232,90,90,-1.855
CsGdO3,Cs,Gd,rhombohedral,-2.078,0.382,0.4,18.986,0,6.452,6.452,60,60,-0.807
ThRuO3,Th,Ru,cubic,-2.076,0.846,0,12.477,0,3.966,3.966,90,90,0.279
ErLiO3,Er,Li,cubic,-2.076,0.554,0.399,9.417,0,3.611,3.611,90,90,-1.487
LaSbO3,La,Sb,cubic,-2.075,0.622,-0.001,15.471,0,4.261,4.261,90,90,2.31
CuHoO3,Cu,Ho,rhombohedral,-2.075,0.263,0.399,13.217,0.384,6.023,6.023,53.8,53.8,-3.538
VPaO3,V,Pa,cubic,-2.075,0.689,0.799,16.596,0,4.362,4.362,90,90,3.863
ZnTiO3,Zn,Ti,cubic,-2.074,0.542,0,11.208,0,3.827,3.827,90,90,1.342
MoKO3,Mo,K,orthorhombic,-2.074,0.205,0.018,17.23,0,5.423,10.268,90,90,-19.535
CaRuO3,Ca,Ru,orthorhombic,-2.073,-0.017,0.397,11.614,0,5.371,7.708,90,90,2.353
MgHoO3,Mg,Ho,cubic,-2.073,1.051,0.2,15.199,0,4.236,4.236,90,90,-2.614
HfErO3,Hf,Er,cubic,-2.072,1.604,0.149,14.675,0,4.186,4.186,90,90,-6.122
ScNaO3,Sc,Na,orthorhombic,-2.072,0.417,0.4,12.796,0,5.481,8.515,90,90,-4.175
TbPdO3,Tb,Pd,orthorhombic,-2.07,-0.03,0.005,12.007,0,5.4,7.543,90,90,-0.016
NbCuO3,Nb,Cu,rhombohedral,-2.069,0.118,0,12.309,1.077,5.03,5.754,77.3,68.7,-1.211
VScO3,V,Sc,cubic,-2.069,1.15,0.402,12.606,0,3.98,3.98,90,90,-3.636
PaAuO3,Pa,Au,orthorhombic,-2.068,0.026,0,16.244,2.044,6.417,7.271,90,90,-2.825
LuWO3,Lu,W,cubic,-2.068,0.96,0,12.337,0,3.951,3.951,90,90,0.59
RbLaO3,Rb,La,orthorhombic,-2.067,0.358,0.4,19.406,0,6.49,9.193,90,90,-0.73
CsLaO3,Cs,La,rhombohedral,-2.066,0.354,0.4,20.151,0,6.582,6.582,60,60,-0.757
UEuO3,U,Eu,cubic,-2.066,1.584,0.458,15.639,0,4.276,4.276,90,90,-6.272
NpRuO3,Np,Ru,cubic,-2.066,0.54,0.803,12.38,0,3.956,3.956,90,90,1.542
TmInO3,Tm,In,cubic,-2.065,0.823,0,13.593,1.289,4.081,4.081,90,90,2.513
KLaO3,K,La,orthorhombic,-2.065,0.371,0.4,18.346,0,6.372,9.005,90,90,-0.83
ZnThO3,Zn,Th,cubic,-2.064,1.138,-0.105,18.388,0,4.513,4.513,90,90,-2.511
TmLiO3,Tm,Li,cubic,-2.064,0.583,0.398,9.313,0,3.598,3.598,90,90,-1.574
PaAgO3,Pa,Ag,orthorhombic,-2.063,0.263,0,13.672,1.73,5.835,7.516,90,90,-1.774
AgThO3,Ag,Th,cubic,-2.063,0.585,-0.115,17.974,0,4.479,4.479,90,90,-0.696
HoKO3,Ho,K,orthorhombic,-2.063,0.451,0.4,17.879,0,5.904,10.216,90,90,-4.019
CuDyO3,Cu,Dy,rhombohedral,-2.062,0.267,0.4,13.329,0.373,6.017,6.017,54.2,54.2,-3.666
PaPmO3,Pa,Pm,cubic,-2.062,1.171,0.398,17.294,0,4.422,4.422,90,90,2.216
GdSnO3,Gd,Sn,cubic,-2.062,0.777,0,13.873,0,4.109,4.109,90,90,2.372
PaTaO3,Pa,Ta,cubic,-2.061,0.675,0.396,13.081,0,4.029,4.029,90,90,1.586
PrReO3,Pr,Re,cubic,-2.061,0.541,0.177,12.642,0,3.983,3.983,90,90,1.618
TbAcO3,Tb,Ac,cubic,-2.061,1.509,0.001,20.243,0,4.66,4.66,90,90,0.939
ZrSiO3,Zr,Si,cubic,-2.058,1.074,0.247,9.55,0,3.628,3.628,90,90,2.891
RbAcO3,Rb,Ac,cubic,-2.058,0.3,0.001,19.179,0,4.577,4.577,90,90,-0.358
KAcO3,K,Ac,rhombohedral,-2.058,0.31,0,18.497,0,6.385,6.385,60.2,60.2,-0.448
HfVO3,Hf,V,cubic,-2.057,1.151,0.534,11.012,0,3.804,3.804,90,90,1.959
HoTcO3,Ho,Tc,cubic,-2.057,0.645,0.314,12.11,0,3.927,3.927,90,90,1.029
MoLiO3,Mo,Li,orthorhombic,-2.056,0.266,0.027,9.258,0,4.76,7.706,90,90,-5.319
TmRbO3,Tm,Rb,orthorhombic,-2.055,0.479,0.4,18.959,0,5.815,11.132,90,90,-9.129
NdAsO3,Nd,As,cubic,-2.055,0.563,0,13.12,0,4.033,4.033,90,90,2.687
LuZnO3,Lu,Zn,cubic,-2.055,0.586,0,10.763,0,3.775,3.775,90,90,-0.648
CsAcO3,Cs,Ac,cubic,-2.055,0.299,0,19.906,0,4.634,4.634,90,90,-0.399
TiTlO3,Ti,Tl,orthorhombic,-2.053,0.268,0,14.423,0,5.539,9.003,90,90,-7.139
BiPuO3,Bi,Pu,cubic,-2.053,0.5,0.776,16.778,0,4.378,4.378,90,90,2.16
ThRhO3,Th,Rh,cubic,-2.052,0.801,0,12.684,0,3.988,3.988,90,90,0.403
DyKO3,Dy,K,orthorhombic,-2.051,0.452,0.4,17.952,0,5.932,10.141,90,90,-3.943
TeUO3,Te,U,cubic,-2.051,0.63,-0.117,16.672,0,4.368,4.368,90,90,2.696
PbVO3,Pb,V,tetragonal,-2.05,0.033,0.2,13.155,1.006,3.874,4.383,90,90,3.148
SnTmO3,Sn,Tm,cubic,-2.049,0.825,-0.198,15.495,0,4.263,4.263,90,90,-1.145
ScMoO3,Sc,Mo,cubic,-2.047,0.826,0.17,11.995,0,3.914,3.914,90,90,1.521
TbInO3,Tb,In,cubic,-2.046,0.657,0,13.737,1.737,4.095,4.095,90,90,2.768
HfCrO3,Hf,Cr,cubic,-2.046,1.085,0.529,10.687,0,3.767,3.767,90,90,2.003
BiHoO3,Bi,Ho,cubic,-2.046,0.628,0,15.754,0,4.287,4.287,90,90,-0.821
BiVO3,Bi,V,orthorhombic,-2.045,0.007,0.4,12.262,0.891,5.448,7.828,90,90,3.34
TbCaO3,Tb,Ca,cubic,-2.043,1.028,0.2,13.791,0,4.101,4.101,90,90,-2.782
NdReO3,Nd,Re,cubic,-2.042,0.546,0.173,12.558,0,3.975,3.975,90,90,1.361
CeRbO3,Ce,Rb,orthorhombic,-2.041,0.288,0,19.672,1.058,6.588,9.011,90,90,-2.543
RbSmO3,Rb,Sm,cubic,-2.041,0.378,0.4,18.79,0,4.546,4.546,90,90,-0.755
CuYO3,Cu,Y,rhombohedral,-2.041,0.266,0.401,13.364,0.37,6.027,6.027,54.1,54.1,-4.218
ReSrO3,Re,Sr,rhombohedral,-2.039,0.312,0.2,16.11,0,5.959,5.959,63.5,63.5,-16.04
ReBaO3,Re,Ba,rhombohedral,-2.039,0.293,0.2,18.491,0,6.202,6.202,64.4,64.4,-16.108
MgDyO3,Mg,Dy,cubic,-2.039,1.073,0.2,15.418,0,4.256,4.256,90,90,-2.681
ThSrO3,Th,Sr,cubic,-2.039,1.681,0,17.122,0,4.407,4.407,90,90,-4.355
KSmO3,K,Sm,orthorhombic,-2.038,0.39,0.4,17.899,0,6.324,8.919,90,90,-0.854
HgTiO3,Hg,Ti,rhombohedral,-2.038,0.09,0,11.512,1.52,5.508,5.508,58.9,58.9,1.847
CePtO3,Ce,Pt,orthorhombic,-2.037,0.071,0,13.275,0,5.634,7.69,90,90,0.53
CuGdO3,Cu,Gd,rhombohedral,-2.036,0.271,0.4,13.667,0.342,6.05,6.05,54.5,54.5,-4.248
ScFeO3,Sc,Fe,cubic,-2.035,0.694,0.941,10.773,0,3.777,3.777,90,90,1.505
RuLaO3,Ru,La,orthorhombic,-2.034,0.401,0.004,14.14,0,5.835,8.296,90,90,-7.236
ZrGdO3,Zr,Gd,cubic,-2.034,1.507,0.199,15.882,0,4.298,4.298,90,90,-5.804
YKO3,Y,K,orthorhombic,-2.033,0.458,0.4,18.007,0,5.958,10.106,90,90,-3.846
FeTiO3,Fe,Ti,cubic,-2.033,0.567,0.799,11.18,0,3.824,3.824,90,90,1.521
YbEuO3,Yb,Eu,cubic,-2.033,0.728,0.001,14.521,0,4.172,4.172,90,90,-1.672
PmAsO3,Pm,As,cubic,-2.032,0.529,0,13.018,0,4.023,4.023,90,90,2.566
CsMoO3,Cs,Mo,tetragonal,-2.032,0.148,0.028,16.169,0,3.904,5.304,90,90,3.729
LuLiO3,Lu,Li,cubic,-2.031,0.632,0.399,9.19,0,3.582,3.582,90,90,-1.761
CsSmO3,Cs,Sm,rhombohedral,-2.031,0.383,0.4,19.57,0,6.511,6.511,60.1,60.1,-0.817
ErTcO3,Er,Tc,cubic,-2.031,0.682,0.315,12.073,0,3.923,3.923,90,90,0.883
TePaO3,Te,Pa,orthorhombic,-2.03,0.219,0,17.509,0.335,5.795,9.946,90,90,2.508
TbEuO3,Tb,Eu,cubic,-2.03,1.108,0.108,15.402,0,4.254,4.254,90,90,-2.201
YSnO3,Y,Sn,cubic,-2.029,0.804,0.002,13.8,0,4.102,4.102,90,90,2.368
TcSrO3,Tc,Sr,rhombohedral,-2.028,0.267,0.2,16.585,0,6.245,6.245,58.4,58.4,-12.187
WNaO3,W,Na,orthorhombic,-2.028,0.352,0.005,13.044,0,5.444,8.334,90,90,-14.529
ScWO3,Sc,W,cubic,-2.028,0.855,0.19,12.084,0,3.924,3.924,90,90,1.42
RbPmO3,Rb,Pm,cubic,-2.027,0.38,0.4,19.056,0,4.567,4.567,90,90,-0.75
CuHfO3,Cu,Hf,cubic,-2.027,0.599,0.201,13.388,0,4.06,4.06,90,90,-0.592
MnLuO3,Mn,Lu,cubic,-2.027,1.007,0.799,14.489,0,4.169,4.169,90,90,-2.197
CuLaO3,Cu,La,rhombohedral,-2.025,0.239,0.4,15.024,0.263,6.195,6.195,55.4,55.4,-3.569
SrRuO3,Sr,Ru,orthorhombic,-2.024,-0.013,0.396,12.293,0,5.574,7.896,90,90,3.136
PaMnO3,Pa,Mn,cubic,-2.024,0.65,1.2,12.006,0,3.916,3.916,90,90,2.564
TiNbO3,Ti,Nb,cubic,-2.023,0.833,0.447,12.656,0,3.985,3.985,90,90,3.134
CuAcO3,Cu,Ac,rhombohedral,-2.023,0.218,0.401,16.494,0.297,6.531,6.531,53.1,53.1,-2.485
PmReO3,Pm,Re,cubic,-2.023,0.584,0.166,12.468,0,3.965,3.965,90,90,1.125
KPmO3,K,Pm,rhombohedral,-2.023,0.393,0.4,18.067,0,6.286,6.286,61.3,61.3,-0.854
ReCaO3,Re,Ca,rhombohedral,-2.022,0.336,0.2,14.733,0,6.03,6.03,57.8,57.8,-13.338
HfHoO3,Hf,Ho,cubic,-2.021,1.643,0.157,14.92,0,4.21,4.21,90,90,-6.539
ZrNbO3,Zr,Nb,cubic,-2.02,1.021,0.337,12.861,0,4.006,4.006,90,90,1.704
FeZrO3,Fe,Zr,cubic,-2.02,0.768,0.8,13.774,0,4.099,4.099,90,90,-0.155
TaAgO3,Ta,Ag,orthorhombic,-2.019,0.246,0,14.157,1.609,5.492,8.713,90,90,-11.587
CsPmO3,Cs,Pm,cubic,-2.019,0.383,0.4,19.667,0,4.616,4.616,90,90,-0.786
NaAcO3,Na,Ac,orthorhombic,-2.018,0.352,0.1,16.191,0,6.063,8.575,90,90,-0.778
DyRbO3,Dy,Rb,orthorhombic,-2.017,0.476,0.4,19.47,0,5.891,11.001,90,90,-8.219
AgPuO3,Ag,Pu,orthorhombic,-2.016,0.046,0.6,14.166,0.997,5.67,8.343,90,90,0.281
RhLaO3,Rh,La,orthorhombic,-2.013,0.373,0,14.146,0.397,5.623,8.525,90,90,-6.598
RhLaO3,Rh,La,orthorhombic,-2.013,0.373,0,14.146,0.397,5.623,8.525,90,90,-6.598
AsHfO3,As,Hf,cubic,-2.012,0.773,-0.001,13.462,0,4.068,4.068,90,90,0.248
SnErO3,Sn,Er,cubic,-2.012,0.851,-0.198,15.719,0,4.283,4.283,90,90,-1.922
NpRhO3,Np,Rh,cubic,-2.012,0.525,0.792,12.451,0,3.963,3.963,90,90,1.574
DySnO3,Dy,Sn,cubic,-2.01,0.843,0,13.812,0,4.103,4.103,90,90,2.274
LuInO3,Lu,In,cubic,-2.01,0.893,0,13.548,0.993,4.076,4.076,90,90,2.407
SnVO3,Sn,V,orthorhombic,-2.01,0.198,0.351,11.57,0,5.411,7.672,90,90,3.118
AgNbO3,Ag,Nb,rhombohedral,-2.009,0.043,0,12.263,1.269,5.611,5.611,59.2,59.2,4.672
CrScO3,Cr,Sc,cubic,-2.009,1.135,0.6,12.979,0,4.019,4.019,90,90,-3.18
SmAsO3,Sm,As,cubic,-2.008,0.639,0,12.948,0,4.015,4.015,90,90,2.469
LiScO3,Li,Sc,cubic,-2.008,0.594,0.4,13.484,0,4.07,4.07,90,90,-1.701
TcBaO3,Tc,Ba,rhombohedral,-2.006,0.304,0.2,18.189,0,6.173,6.173,64.3,64.3,-12.144
AcAuO3,Ac,Au,orthorhombic,-2.006,-0.056,0,15.19,0.745,5.899,7.63,90,90,0.807
TbRbO3,Tb,Rb,orthorhombic,-2.002,0.346,0,18.423,1.287,6.215,9.466,90,90,-3.294
TiVO3,Ti,V,cubic,-2.002,0.911,0.604,10.609,0,3.757,3.757,90,90,2.541
MgYO3,Mg,Y,cubic,-2.002,1.09,0.2,15.597,0,4.272,4.272,90,90,-2.831
TmTcO3,Tm,Tc,cubic,-2.002,0.729,0.315,12.04,0,3.919,3.919,90,90,0.735
SmReO3,Sm,Re,cubic,-2.001,0.686,0.165,12.43,0,3.961,3.961,90,90,0.946
TaCdO3,Ta,Cd,orthorhombic,-2.001,0.48,0,12.766,0,5.622,7.121,90,90,-12.014
LiLuO3,Li,Lu,cubic,-2,0.663,0.401,15.284,0,4.244,4.244,90,90,-1.709
AlNbO3,Al,Nb,cubic,-1.999,0.882,-0.001,13.005,0,4.021,4.021,90,90,4.777
RuAcO3,Ru,Ac,rhombohedral,-1.999,0.361,0.2,15.776,0,5.82,5.82,66.1,66.1,-7.459
ZnNpO3,Zn,Np,cubic,-1.999,0.887,0.391,15.615,0,4.274,4.274,90,90,-0.126
PdUO3,Pd,U,cubic,-1.997,0.555,0,14.913,0.538,4.209,4.209,90,90,1.74
LuCaO3,Lu,Ca,cubic,-1.996,1.276,0,13.788,0,4.1,4.1,90,90,-3.504
RbNdO3,Rb,Nd,cubic,-1.996,0.383,0.4,19.466,0,4.6,4.6,90,90,-0.741
CaOsO3,Ca,Os,orthorhombic,-1.995,0.084,0.184,11.469,0,5.324,7.684,90,90,2.187
ScGeO3,Sc,Ge,cubic,-1.995,0.758,0.089,10.646,0,3.762,3.762,90,90,2.523
SiZrO3,Si,Zr,cubic,-1.995,1.137,0,13.933,1.469,4.115,4.115,90,90,3.899
CsNdO3,Cs,Nd,cubic,-1.994,0.38,0.4,20.071,0,4.647,4.647,90,90,-0.76
SbVO3,Sb,V,orthorhombic,-1.993,0.112,0.4,11.801,0.606,5.306,7.681,90,90,3.131
